file,class,method,variable,usage
/app/repo/Atvd_controle_estoque/pagamentos/src/main/java/br/com/alurafood/pagamentos/controller/PagamentoController.java,br.com.alurafood.pagamentos.controller.PagamentoController,detalhar/1[java.lang.Long],service,1
/app/repo/Atvd_controle_estoque/pagamentos/src/main/java/br/com/alurafood/pagamentos/controller/PagamentoController.java,br.com.alurafood.pagamentos.controller.PagamentoController,listar/1[br.com.alurafood.pagamentos.controller.Pageable],service,1
/app/repo/Atvd_controle_estoque/pagamentos/src/main/java/br/com/alurafood/pagamentos/controller/PagamentoController.java,br.com.alurafood.pagamentos.controller.PagamentoController,"cadastrar/2[br.com.alurafood.pagamentos.dto.PagamentoDto,br.com.alurafood.pagamentos.controller.UriComponentsBuilder]",service,1
/app/repo/Atvd_controle_estoque/pagamentos/src/main/java/br/com/alurafood/pagamentos/controller/PagamentoController.java,br.com.alurafood.pagamentos.controller.PagamentoController,"atualizar/2[java.lang.Long,br.com.alurafood.pagamentos.dto.PagamentoDto]",service,1
/app/repo/Atvd_controle_estoque/pagamentos/src/main/java/br/com/alurafood/pagamentos/controller/PagamentoController.java,br.com.alurafood.pagamentos.controller.PagamentoController,remover/1[java.lang.Long],service,1
/app/repo/atvd_resolvidas/controle_estoque/src/main/java/com/EmpresaWEBII/controleestoque/model/Usuario.java,com.EmpresaWEBII.controleestoque.model.Usuario,setPapel/1[com.EmpresaWEBII.controleestoque.model.Papel],papel,3
/app/repo/atvd_resolvidas/controle_estoque/src/main/java/com/EmpresaWEBII/controleestoque/model/Usuario.java,com.EmpresaWEBII.controleestoque.model.Usuario,setNome/1[java.lang.String],nome,3
/app/repo/atvd_resolvidas/controle_estoque/src/main/java/com/EmpresaWEBII/controleestoque/model/Usuario.java,com.EmpresaWEBII.controleestoque.model.Usuario,setSenha/1[java.lang.String],senha,3
/app/repo/atvd_resolvidas/controle_estoque/src/main/java/com/EmpresaWEBII/controleestoque/model/Usuario.java,com.EmpresaWEBII.controleestoque.model.Usuario,getSenha/0,senha,1
/app/repo/atvd_resolvidas/controle_estoque/src/main/java/com/EmpresaWEBII/controleestoque/model/Usuario.java,com.EmpresaWEBII.controleestoque.model.Usuario,getNome/0,nome,1
/app/repo/atvd_resolvidas/controle_estoque/src/main/java/com/EmpresaWEBII/controleestoque/model/Usuario.java,com.EmpresaWEBII.controleestoque.model.Usuario,setEmail/1[java.lang.String],email,3
/app/repo/atvd_resolvidas/controle_estoque/src/main/java/com/EmpresaWEBII/controleestoque/model/Usuario.java,com.EmpresaWEBII.controleestoque.model.Usuario,hashCode/0,id,1
