file,class,method,variable,usage
/app/repo/atvd_resolvidas/controle_estoque/src/main/java/com/EmpresaWEBII/controleestoque/ControleEstoqueApplication.java,com.EmpresaWEBII.controleestoque.ControleEstoqueApplication,main/1[java.lang.String[]],args,1
/app/repo/Atvd_controle_estoque/pagamentos/src/main/java/br/com/alurafood/pagamentos/controller/PagamentoController.java,br.com.alurafood.pagamentos.controller.PagamentoController,detalhar/1[java.lang.Long],id,1
/app/repo/Atvd_controle_estoque/pagamentos/src/main/java/br/com/alurafood/pagamentos/controller/PagamentoController.java,br.com.alurafood.pagamentos.controller.PagamentoController,detalhar/1[java.lang.Long],dto,1
/app/repo/Atvd_controle_estoque/pagamentos/src/main/java/br/com/alurafood/pagamentos/controller/PagamentoController.java,br.com.alurafood.pagamentos.controller.PagamentoController,listar/1[br.com.alurafood.pagamentos.controller.Pageable],paginacao,1
/app/repo/Atvd_controle_estoque/pagamentos/src/main/java/br/com/alurafood/pagamentos/controller/PagamentoController.java,br.com.alurafood.pagamentos.controller.PagamentoController,"cadastrar/2[br.com.alurafood.pagamentos.dto.PagamentoDto,br.com.alurafood.pagamentos.controller.UriComponentsBuilder]",endereco,1
/app/repo/Atvd_controle_estoque/pagamentos/src/main/java/br/com/alurafood/pagamentos/controller/PagamentoController.java,br.com.alurafood.pagamentos.controller.PagamentoController,"cadastrar/2[br.com.alurafood.pagamentos.dto.PagamentoDto,br.com.alurafood.pagamentos.controller.UriComponentsBuilder]",pagamento,2
/app/repo/Atvd_controle_estoque/pagamentos/src/main/java/br/com/alurafood/pagamentos/controller/PagamentoController.java,br.com.alurafood.pagamentos.controller.PagamentoController,"cadastrar/2[br.com.alurafood.pagamentos.dto.PagamentoDto,br.com.alurafood.pagamentos.controller.UriComponentsBuilder]",uriBuilder,1
/app/repo/Atvd_controle_estoque/pagamentos/src/main/java/br/com/alurafood/pagamentos/controller/PagamentoController.java,br.com.alurafood.pagamentos.controller.PagamentoController,"cadastrar/2[br.com.alurafood.pagamentos.dto.PagamentoDto,br.com.alurafood.pagamentos.controller.UriComponentsBuilder]",dto,1
/app/repo/Atvd_controle_estoque/pagamentos/src/main/java/br/com/alurafood/pagamentos/controller/PagamentoController.java,br.com.alurafood.pagamentos.controller.PagamentoController,"atualizar/2[java.lang.Long,br.com.alurafood.pagamentos.dto.PagamentoDto]",atualizado,1
/app/repo/Atvd_controle_estoque/pagamentos/src/main/java/br/com/alurafood/pagamentos/controller/PagamentoController.java,br.com.alurafood.pagamentos.controller.PagamentoController,"atualizar/2[java.lang.Long,br.com.alurafood.pagamentos.dto.PagamentoDto]",id,1
/app/repo/Atvd_controle_estoque/pagamentos/src/main/java/br/com/alurafood/pagamentos/controller/PagamentoController.java,br.com.alurafood.pagamentos.controller.PagamentoController,"atualizar/2[java.lang.Long,br.com.alurafood.pagamentos.dto.PagamentoDto]",dto,1
/app/repo/Atvd_controle_estoque/pagamentos/src/main/java/br/com/alurafood/pagamentos/controller/PagamentoController.java,br.com.alurafood.pagamentos.controller.PagamentoController,remover/1[java.lang.Long],id,1
